68719476824,IDENTIFIER,0,,this,0,src/app.module.ts::program,3,this,,,2,,src/app.module.ts::program
68719476825,IDENTIFIER,1,,CorrelationIdMiddleware,0,src/shared/middleware/correlation-id/correlation-id.middleware.ts::program:CorrelationIdMiddleware;CorrelationIdMiddleware,4,CorrelationIdMiddleware,,,1,,ANY
68719476826,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",4,require,,,1,,ANY
68719476827,IDENTIFIER,0,,this,0,src/app.module.ts::program,4,this,,,2,,src/app.module.ts::program
68719476828,IDENTIFIER,1,,MiddlewareConsumer,0,,5,MiddlewareConsumer,,,1,,@nestjs/common:MiddlewareConsumer
68719476829,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",5,require,,,1,,ANY
68719476830,IDENTIFIER,0,,this,0,src/app.module.ts::program,5,this,,,2,,src/app.module.ts::program
68719476831,IDENTIFIER,1,,Module,0,,5,Module,,,1,,@nestjs/common:Module
68719476832,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",5,require,,,1,,ANY
68719476833,IDENTIFIER,0,,this,0,src/app.module.ts::program,5,this,,,2,,src/app.module.ts::program
68719476834,IDENTIFIER,1,,NestModule,0,,5,NestModule,,,1,,@nestjs/common:NestModule
68719476835,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",5,require,,,1,,ANY
68719476836,IDENTIFIER,0,,this,0,src/app.module.ts::program,5,this,,,2,,src/app.module.ts::program
68719476837,IDENTIFIER,1,,LoggerModule,0,,6,LoggerModule,,,1,,nestjs-pino:LoggerModule
68719476838,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",6,require,,,1,,ANY
68719476839,IDENTIFIER,0,,this,0,src/app.module.ts::program,6,this,,,2,,src/app.module.ts::program
68719476840,IDENTIFIER,1,,AppController,0,src/app.controller.ts::program:AppController;AppController,7,AppController,,,1,,ANY
68719476841,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",7,require,,,1,,ANY
68719476842,IDENTIFIER,0,,this,0,src/app.module.ts::program,7,this,,,2,,src/app.module.ts::program
68719476843,IDENTIFIER,1,,AppService,0,src/app.service.ts::program:AppService;AppService,8,AppService,,,1,,ANY
